model,config,num_speakers,num_instances,avg_density
mfcc,10s_60i,10,60,0.4281155240333686
high,10s_60i,10,60,0.308353958560922
low,10s_60i,10,60,0.4422456713315457
mid,10s_60i,10,60,0.45209686106881175
mfcc,20s_1i,20,1,
high,20s_1i,20,1,
low,20s_1i,20,1,
mid,20s_1i,20,1,
mfcc,10s_80i,10,80,0.4231459779377225
high,10s_80i,10,80,0.3041358469709565
low,10s_80i,10,80,0.4443465017970604
mid,10s_80i,10,80,0.45871298488182355
mfcc,10s_20i,10,20,0.4035201554549368
high,10s_20i,10,20,0.2766513051484761
low,10s_20i,10,20,0.4299763850161903
mid,10s_20i,10,20,0.4668272721140009
mfcc,2s_5i,2,5,0.39495141506195064
high,2s_5i,2,5,0.13040615916252135
low,2s_5i,2,5,0.5933064937591552
mid,2s_5i,2,5,0.39082822799682615
mfcc,20s_10i,20,10,0.39778930664062506
high,20s_10i,20,10,0.2531712094942729
low,20s_10i,20,10,0.36641550196541683
mid,20s_10i,20,10,0.42657501008775495
mfcc,80s_40i,80,40,0.4133050521214804
high,80s_40i,80,40,0.2549457640525622
low,80s_40i,80,40,0.43898075592823516
mid,80s_40i,80,40,0.43031233591911117
mfcc,5s_40i,5,40,0.43433801113030845
high,5s_40i,5,40,0.33244316687950726
low,5s_40i,5,40,0.49530819232647244
mid,5s_40i,5,40,0.46518230731670673
mfcc,40s_5i,40,5,0.4003152070939541
high,40s_5i,40,5,0.2555816066637635
low,40s_5i,40,5,0.3498152235895395
mid,40s_5i,40,5,0.45332471847534184
mfcc,60s_10i,60,10,0.3979788381965072
high,60s_10i,60,10,0.26387572412137633
low,60s_10i,60,10,0.40691255843197865
mid,60s_10i,60,10,0.4346333365970188
mfcc,80s_5i,80,5,0.38421365775167937
high,80s_5i,80,5,0.23902380684390662
low,80s_5i,80,5,0.4030283330753446
mid,80s_5i,80,5,0.43877765044569966
mfcc,5s_5i,5,5,0.5262695837020874
high,5s_5i,5,5,0.30301306962966923
low,5s_5i,5,5,0.5677302360534668
mid,5s_5i,5,5,0.4399139881134033
mfcc,40s_10i,40,10,0.3878730626900991
high,40s_10i,40,10,0.2588137172328101
low,40s_10i,40,10,0.3681136035919189
mid,40s_10i,40,10,0.4406242248747084
mfcc,80s_1i,80,1,
high,80s_1i,80,1,
low,80s_1i,80,1,
mid,80s_1i,80,1,
mfcc,5s_1i,5,1,
high,5s_1i,5,1,
low,5s_1i,5,1,
mid,5s_1i,5,1,
mfcc,20s_60i,20,60,0.4265576577051885
high,20s_60i,20,60,0.27085806097687976
low,20s_60i,20,60,0.4080971093905174
mid,20s_60i,20,60,0.4351967168258408
mfcc,2s_40i,2,40,0.31829898540790263
high,2s_40i,2,40,0.21437183282314204
low,2s_40i,2,40,0.547773664425581
mid,2s_40i,2,40,0.46556666447566103
mfcc,20s_80i,20,80,0.4232318820229059
high,20s_80i,20,80,0.2669939222215097
low,20s_80i,20,80,0.41185748909093156
mid,20s_80i,20,80,0.43884614968601665
mfcc,10s_10i,10,10,0.4092041767968072
high,10s_10i,10,10,0.2669769218232897
low,10s_10i,10,10,0.4288740179273818
mid,10s_10i,10,10,0.445957039727105
mfcc,20s_20i,20,20,0.4192572347741378
high,20s_20i,20,20,0.25751886894828396
low,20s_20i,20,20,0.39289730322988414
mid,20s_20i,20,20,0.43392913115651977
mfcc,40s_1i,40,1,
high,40s_1i,40,1,
low,40s_1i,40,1,
mid,40s_1i,40,1,
mfcc,2s_1i,2,1,
high,2s_1i,2,1,
low,2s_1i,2,1,
mid,2s_1i,2,1,
mfcc,60s_80i,60,80,0.4210258075054185
high,60s_80i,60,80,0.26881229988130334
low,60s_80i,60,80,0.4442068347850429
mid,60s_80i,60,80,0.4364204992624275
mfcc,60s_20i,60,20,0.4074926829756353
high,60s_20i,60,20,0.26142332495304577
low,60s_20i,60,20,0.4221748768237599
mid,60s_20i,60,20,0.4288667979993318
mfcc,40s_60i,40,60,0.40235262078753975
high,40s_60i,40,60,0.27261899075265655
low,40s_60i,40,60,0.40251003653316175
mid,40s_60i,40,60,0.43390954874329646
mfcc,60s_60i,60,60,0.42100193433168914
high,60s_60i,60,60,0.2690949709761165
low,60s_60i,60,60,0.4403537086443713
mid,60s_60i,60,60,0.4333409877281405
mfcc,40s_20i,40,20,0.3890404866871081
high,40s_20i,40,20,0.26427481814434656
low,40s_20i,40,20,0.3818836188943763
mid,40s_20i,40,20,0.4342676072371633
mfcc,20s_5i,20,5,0.4020215475559235
high,20s_5i,20,5,0.2426225253939628
low,20s_5i,20,5,0.360559221059084
mid,20s_5i,20,5,0.41114073514938354
mfcc,40s_80i,40,80,0.4008828078644185
high,40s_80i,40,80,0.26951017935064775
low,40s_80i,40,80,0.40832169206836555
mid,40s_80i,40,80,0.43808876037597655
mfcc,10s_5i,10,5,0.44702360987663264
high,10s_5i,10,5,0.254324246942997
low,10s_5i,10,5,0.4765963399410248
mid,10s_5i,10,5,0.42614741563797
mfcc,80s_80i,80,80,0.42108498537087746
high,80s_80i,80,80,0.2612817821623404
low,80s_80i,80,80,0.4518078715891778
mid,80s_80i,80,80,0.43418947847583633
mfcc,80s_20i,80,20,0.4038075620249698
high,80s_20i,80,20,0.2533542801204481
low,80s_20i,80,20,0.4293918842704672
mid,80s_20i,80,20,0.42865164806968287
mfcc,10s_40i,10,40,0.41824701944986975
high,10s_40i,10,40,0.28604539235432946
low,10s_40i,10,40,0.42830118521665916
mid,10s_40i,10,40,0.45231788439628406
mfcc,80s_60i,80,60,0.418596067913508
high,80s_60i,80,60,0.25864782570445605
low,80s_60i,80,60,0.44613915976831475
mid,80s_60i,80,60,0.4322154311271711
mfcc,2s_10i,2,10,0.3291354073418511
high,2s_10i,2,10,0.1255590597788493
low,2s_10i,2,10,0.5436089091830784
mid,2s_10i,2,10,0.47842449612087673
mfcc,60s_1i,60,1,
high,60s_1i,60,1,
low,60s_1i,60,1,
mid,60s_1i,60,1,
mfcc,5s_60i,5,60,0.437192189706921
high,5s_60i,5,60,0.3681098653502383
low,5s_60i,5,60,0.4912862417792197
mid,5s_60i,5,60,0.47125695869747525
mfcc,5s_20i,5,20,0.42424999036287003
high,5s_20i,5,20,0.3293883755332545
low,5s_20i,5,20,0.4940581873843545
mid,5s_20i,5,20,0.4865368973581414
mfcc,5s_80i,5,80,0.43653557113454317
high,5s_80i,5,80,0.3617295818087421
low,5s_80i,5,80,0.497998255476167
mid,5s_80i,5,80,0.48409399877620646
mfcc,2s_60i,2,60,0.3117684402034781
high,2s_60i,2,60,0.2844335609910178
low,2s_60i,2,60,0.5480537888693944
mid,2s_60i,2,60,0.47166139419469455
mfcc,20s_40i,20,40,0.4209127377241086
high,20s_40i,20,40,0.2605967002037244
low,20s_40i,20,40,0.3976322883214706
mid,20s_40i,20,40,0.4309613222953601
mfcc,80s_10i,80,10,0.39068562355306413
high,80s_10i,80,10,0.2604777416586876
low,80s_10i,80,10,0.4164899339278539
mid,80s_10i,80,10,0.43539351675245497
mfcc,2s_80i,2,80,0.30846338392812994
high,2s_80i,2,80,0.29004172795935523
low,2s_80i,2,80,0.5427168834058544
mid,2s_80i,2,80,0.4846838842464398
mfcc,2s_20i,2,20,0.30319687692742603
high,2s_20i,2,20,0.1594965984946803
low,2s_20i,2,20,0.5509716033935547
mid,2s_20i,2,20,0.516996905678197
mfcc,40s_40i,40,40,0.39906350111350036
high,40s_40i,40,40,0.26639124038891915
low,40s_40i,40,40,0.3945884107932066
mid,40s_40i,40,40,0.432844411898882
mfcc,60s_5i,60,5,0.400709335108598
high,60s_5i,60,5,0.24553676846126712
low,60s_5i,60,5,0.39299134080608683
mid,60s_5i,60,5,0.4410825582345327
mfcc,10s_1i,10,1,
high,10s_1i,10,1,
low,10s_1i,10,1,
mid,10s_1i,10,1,
mfcc,5s_10i,5,10,0.45569513956705726
high,5s_10i,5,10,0.312264821794298
low,5s_10i,5,10,0.5010329818725585
mid,5s_10i,5,10,0.4602273305257161
mfcc,60s_40i,60,40,0.4163205727145203
high,60s_40i,60,40,0.2659634975694184
low,60s_40i,60,40,0.43246565989958935
mid,60s_40i,60,40,0.4313328747871595
mfcc,10s_60i,10,60,0.4261771543686
high,10s_60i,10,60,0.23838985637082893
low,10s_60i,10,60,0.44633956391932605
mid,10s_60i,10,60,0.4337088167869439
mfcc,20s_1i,20,1,
high,20s_1i,20,1,
low,20s_1i,20,1,
mid,20s_1i,20,1,
mfcc,10s_80i,10,80,0.4244778075399278
high,10s_80i,10,80,0.24667294031457057
low,10s_80i,10,80,0.44361035793642456
mid,10s_80i,10,80,0.4357639013362836
mfcc,10s_20i,10,20,0.42910450584010074
high,10s_20i,10,20,0.21529848751268893
low,10s_20i,10,20,0.44356469003777754
mid,10s_20i,10,20,0.42939603905928764
mfcc,2s_5i,2,5,0.2842143714427948
high,2s_5i,2,5,0.13743636310100554
low,2s_5i,2,5,0.22503221929073333
mid,2s_5i,2,5,0.46037832498550413
mfcc,20s_10i,20,10,0.41204392962985564
high,20s_10i,20,10,0.29267595648765565
low,20s_10i,20,10,0.425538834200965
mid,20s_10i,20,10,0.43739840719434947
mfcc,80s_40i,80,40,0.4345568334139311
high,80s_40i,80,40,0.3276785112649967
low,80s_40i,80,40,0.4851323831387056
mid,80s_40i,80,40,0.43927143903879023
mfcc,5s_40i,5,40,0.4216668153420473
high,5s_40i,5,40,0.19887240091959638
low,5s_40i,5,40,0.4539118135892428
mid,5s_40i,5,40,0.4498893776918069
mfcc,40s_5i,40,5,0.4154899814724923
high,40s_5i,40,5,0.292449404373765
low,40s_5i,40,5,0.46566337212920195
mid,40s_5i,40,5,0.4673216170072555
mfcc,60s_10i,60,10,0.4164758265459979
high,60s_10i,60,10,0.30433640065016565
low,60s_10i,60,10,0.47837898492813113
mid,60s_10i,60,10,0.43838928893760387
mfcc,80s_5i,80,5,0.4251545678079129
high,80s_5i,80,5,0.3156108498200774
low,80s_5i,80,5,0.4918992672115564
mid,80s_5i,80,5,0.4443927973508835
mfcc,5s_5i,5,5,0.46219878911972045
high,5s_5i,5,5,0.10969324827194216
low,5s_5i,5,5,0.43690252184867856
mid,5s_5i,5,5,0.4655655241012573
mfcc,40s_10i,40,10,0.4077126545376248
high,40s_10i,40,10,0.32070482154687247
low,40s_10i,40,10,0.4539301166269514
mid,40s_10i,40,10,0.441301474571228
mfcc,80s_1i,80,1,
high,80s_1i,80,1,
low,80s_1i,80,1,
mid,80s_1i,80,1,
mfcc,5s_1i,5,1,
high,5s_1i,5,1,
low,5s_1i,5,1,
mid,5s_1i,5,1,
mfcc,20s_60i,20,60,0.41947271573341494
high,20s_60i,20,60,0.28939068896622305
low,20s_60i,20,60,0.4565090575999459
mid,20s_60i,20,60,0.4345695245602711
mfcc,2s_40i,2,40,0.2862817617563101
high,2s_40i,2,40,0.14923607752873347
low,2s_40i,2,40,0.3072841546474359
mid,2s_40i,2,40,0.44237263997395837
mfcc,20s_80i,20,80,0.4190918615799917
high,20s_80i,20,80,0.2989052410367169
low,20s_80i,20,80,0.45471870953523663
mid,20s_80i,20,80,0.4374054322061659
mfcc,10s_10i,10,10,0.43763275358412007
high,10s_10i,10,10,0.2134673237800598
low,10s_10i,10,10,0.42806795809004045
mid,10s_10i,10,10,0.4317684279547798
mfcc,20s_20i,20,20,0.4201452004282098
high,20s_20i,20,20,0.27616499248303866
low,20s_20i,20,20,0.4594339149876644
mid,20s_20i,20,20,0.42875738645854744
mfcc,40s_1i,40,1,
high,40s_1i,40,1,
low,40s_1i,40,1,
mid,40s_1i,40,1,
mfcc,2s_1i,2,1,
high,2s_1i,2,1,
low,2s_1i,2,1,
mid,2s_1i,2,1,
mfcc,60s_80i,60,80,0.43379675048313054
high,60s_80i,60,80,0.3212235936836854
low,60s_80i,60,80,0.4908953379377535
mid,60s_80i,60,80,0.434558570958391
mfcc,60s_20i,60,20,0.42367107257508396
high,60s_20i,60,20,0.30475185134954613
low,60s_20i,60,20,0.4927061609636273
mid,60s_20i,60,20,0.43289931682118193
mfcc,40s_60i,40,60,0.42176033537266616
high,40s_60i,40,60,0.33396999251371046
low,40s_60i,40,60,0.47444309838074084
mid,40s_60i,40,60,0.4315869179418531
mfcc,60s_60i,60,60,0.43353388525896375
high,60s_60i,60,60,0.316705793535193
low,60s_60i,60,60,0.4893067548503984
mid,60s_60i,60,60,0.4350038445826528
mfcc,40s_20i,40,20,0.4196913262417442
high,40s_20i,40,20,0.3209193295554111
low,40s_20i,40,20,0.4802095754523027
mid,40s_20i,40,20,0.430639416042127
mfcc,20s_5i,20,5,0.4168147271871566
high,20s_5i,20,5,0.24167762979865076
low,20s_5i,20,5,0.44800959736108786
mid,20s_5i,20,5,0.4696341788768768
mfcc,40s_80i,40,80,0.42470591050160084
high,40s_80i,40,80,0.3405780115006845
low,40s_80i,40,80,0.4742349656020539
mid,40s_80i,40,80,0.43212599162813986
mfcc,10s_5i,10,5,0.46298097491264334
high,10s_5i,10,5,0.20583973318338397
low,10s_5i,10,5,0.4423854929208756
mid,10s_5i,10,5,0.4813884997367858
mfcc,80s_80i,80,80,0.4391001614437828
high,80s_80i,80,80,0.3328017334394817
low,80s_80i,80,80,0.4882191522815559
mid,80s_80i,80,80,0.4404760621469232
mfcc,80s_20i,80,20,0.43257157877871866
high,80s_20i,80,20,0.335396895502743
low,80s_20i,80,20,0.48955103673433004
mid,80s_20i,80,20,0.4316557525333605
mfcc,10s_40i,10,40,0.4267883985470503
high,10s_40i,10,40,0.21588198686257387
low,10s_40i,10,40,0.4454337780292218
mid,10s_40i,10,40,0.426169680081881
mfcc,80s_60i,80,60,0.43833458507128353
high,80s_60i,80,60,0.3289488404484119
low,80s_60i,80,60,0.4851724423661744
mid,80s_60i,80,60,0.43985680596303134
mfcc,2s_10i,2,10,0.23083527882893878
high,2s_10i,2,10,0.10102354023191663
low,2s_10i,2,10,0.21681199338701035
mid,2s_10i,2,10,0.46885130140516496
mfcc,60s_1i,60,1,
high,60s_1i,60,1,
low,60s_1i,60,1,
mid,60s_1i,60,1,
mfcc,5s_60i,5,60,0.426187861383298
high,5s_60i,5,60,0.21432921846034164
low,5s_60i,5,60,0.46762229100459035
mid,5s_60i,5,60,0.45859419828080855
mfcc,5s_20i,5,20,0.41806391264262954
high,5s_20i,5,20,0.18312882674367806
low,5s_20i,5,20,0.44758764969675163
mid,5s_20i,5,20,0.4604224757144326
mfcc,5s_80i,5,80,0.4254985876928402
high,5s_80i,5,80,0.22743875527683693
low,5s_80i,5,80,0.4713555135606211
mid,5s_80i,5,80,0.46694191461876977
mfcc,2s_60i,2,60,0.28793281512071855
high,2s_60i,2,60,0.1462011951511189
low,2s_60i,2,60,0.31835685773084393
mid,2s_60i,2,60,0.469913409389345
mfcc,20s_40i,20,40,0.4142475255330404
high,20s_40i,20,40,0.2681933801602095
low,20s_40i,20,40,0.4512139124748035
mid,20s_40i,20,40,0.43214332189315413
mfcc,80s_10i,80,10,0.429317221376631
high,80s_10i,80,10,0.3395631816652086
low,80s_10i,80,10,0.4778886108265983
mid,80s_10i,80,10,0.4377748494678073
mfcc,2s_80i,2,80,0.28881562631341473
high,2s_80i,2,80,0.13915458630911912
low,2s_80i,2,80,0.32635498046875
mid,2s_80i,2,80,0.47541733753832083
mfcc,2s_20i,2,20,0.25816583131489
high,2s_20i,2,20,0.13831419191862407
low,2s_20i,2,20,0.26359363355134663
mid,2s_20i,2,20,0.45610684846576893
mfcc,40s_40i,40,40,0.4175258171864045
high,40s_40i,40,40,0.3237569861534314
low,40s_40i,40,40,0.47364508824470714
mid,40s_40i,40,40,0.43306523885482395
mfcc,60s_5i,60,5,0.4086839852730433
high,60s_5i,60,5,0.29083602493007976
low,60s_5i,60,5,0.48705791582663865
mid,60s_5i,60,5,0.44872990767161053
mfcc,10s_1i,10,1,
high,10s_1i,10,1,
low,10s_1i,10,1,
mid,10s_1i,10,1,
mfcc,5s_10i,5,10,0.4339325035942926
high,5s_10i,5,10,0.15316164917416042
low,5s_10i,5,10,0.4190517457326253
mid,5s_10i,5,10,0.44906222873263896
mfcc,60s_40i,60,40,0.4281391427455805
high,60s_40i,60,40,0.3091351725097395
low,60s_40i,60,40,0.4893627970442812
mid,60s_40i,60,40,0.43812426151373446
mfcc,10s_60i,10,60,0.43564885543564624
high,10s_60i,10,60,0.26083418075647735
low,10s_60i,10,60,0.5220435798774331
mid,10s_60i,10,60,0.43230206333311266
mfcc,20s_1i,20,1,
high,20s_1i,20,1,
low,20s_1i,20,1,
mid,20s_1i,20,1,
mfcc,10s_80i,10,80,0.43919422197945507
high,10s_80i,10,80,0.2669237706631045
low,10s_80i,10,80,0.5248421420326715
mid,10s_80i,10,80,0.44341680212865897
mfcc,10s_20i,10,20,0.424817691602205
high,10s_20i,10,20,0.22704295007806077
low,10s_20i,10,20,0.5229704314783999
mid,10s_20i,10,20,0.42383542111045436
mfcc,2s_5i,2,5,0.47187374830245976
high,2s_5i,2,5,0.09878876805305481
low,2s_5i,2,5,0.5380060076713562
mid,2s_5i,2,5,0.47281084060668943
mfcc,20s_10i,20,10,0.41895344787173805
high,20s_10i,20,10,0.18693244377772014
low,20s_10i,20,10,0.5246430667241414
mid,20s_10i,20,10,0.43660462909274633
mfcc,80s_40i,80,40,0.42899698147406945
high,80s_40i,80,40,0.24969915613149984
low,80s_40i,80,40,0.4701945270636143
mid,80s_40i,80,40,0.42929932325314246
mfcc,5s_40i,5,40,0.4031883983122997
high,5s_40i,5,40,0.3101287430983323
low,5s_40i,5,40,0.449193718739045
mid,5s_40i,5,40,0.41276637933193105
mfcc,40s_5i,40,5,0.4092125108838081
high,40s_5i,40,5,0.23198537643998862
low,40s_5i,40,5,0.47348927706480026
mid,40s_5i,40,5,0.45043409079313274
mfcc,60s_10i,60,10,0.415608704884847
high,60s_10i,60,10,0.25982631369873327
low,60s_10i,60,10,0.47655526611540056
mid,60s_10i,60,10,0.43758032940052166
mfcc,80s_5i,80,5,0.3916276328265667
high,80s_5i,80,5,0.2347073115594685
low,80s_5i,80,5,0.4395349013060331
mid,80s_5i,80,5,0.43633711829781524
mfcc,5s_5i,5,5,0.33004991531372074
high,5s_5i,5,5,0.2144931435585022
low,5s_5i,5,5,0.4539278101921081
mid,5s_5i,5,5,0.3865331506729126
mfcc,40s_10i,40,10,0.4252588118447198
high,40s_10i,40,10,0.2286843984656864
low,40s_10i,40,10,0.4828024081389109
mid,40s_10i,40,10,0.4416722806294759
mfcc,80s_1i,80,1,
high,80s_1i,80,1,
low,80s_1i,80,1,
mid,80s_1i,80,1,
mfcc,5s_1i,5,1,
high,5s_1i,5,1,
low,5s_1i,5,1,
mid,5s_1i,5,1,
mfcc,20s_60i,20,60,0.45608589818922135
high,20s_60i,20,60,0.2337291090367204
low,20s_60i,20,60,0.5210919717476192
mid,20s_60i,20,60,0.4374114817818679
mfcc,2s_40i,2,40,0.47882948655348556
high,2s_40i,2,40,0.2099410864023062
low,2s_40i,2,40,0.4851266127366286
mid,2s_40i,2,40,0.45280892787835536
mfcc,20s_80i,20,80,0.45700567124765124
high,20s_80i,20,80,0.24201326925543293
low,20s_80i,20,80,0.5206970900523511
mid,20s_80i,20,80,0.4405622998973991
mfcc,10s_10i,10,10,0.40225886027018226
high,10s_10i,10,10,0.2515177959865994
low,10s_10i,10,10,0.5280974939134386
mid,10s_10i,10,10,0.4209415859646267
mfcc,20s_20i,20,20,0.4537979296634072
high,20s_20i,20,20,0.19075105616920873
low,20s_20i,20,20,0.5231603752939324
mid,20s_20i,20,20,0.43512754741467924
mfcc,40s_1i,40,1,
high,40s_1i,40,1,
low,40s_1i,40,1,
mid,40s_1i,40,1,
mfcc,2s_1i,2,1,
high,2s_1i,2,1,
low,2s_1i,2,1,
mid,2s_1i,2,1,
mfcc,60s_80i,60,80,0.4380488866492164
high,60s_80i,60,80,0.2669326387075432
low,60s_80i,60,80,0.49558632186696505
mid,60s_80i,60,80,0.43155157483579737
mfcc,60s_20i,60,20,0.4357107428500527
high,60s_20i,60,20,0.2547369515686705
low,60s_20i,60,20,0.4837772653813948
mid,60s_20i,60,20,0.4282072144223933
mfcc,40s_60i,40,60,0.4411212990108856
high,40s_60i,40,60,0.24140907988036422
low,40s_60i,40,60,0.49109712816227635
mid,40s_60i,40,60,0.43546390684311
mfcc,60s_60i,60,60,0.4372311731830605
high,60s_60i,60,60,0.2630802215604907
low,60s_60i,60,60,0.49313659014225913
mid,60s_60i,60,60,0.42827351428245647
mfcc,40s_20i,40,20,0.44358963288758924
high,40s_20i,40,20,0.2241610999483811
low,40s_20i,40,20,0.4825853636390285
mid,40s_20i,40,20,0.4353828013570685
mfcc,20s_5i,20,5,0.4194037210941314
high,20s_5i,20,5,0.19183398611843583
low,20s_5i,20,5,0.5116950893402099
mid,20s_5i,20,5,0.46196008324623117
mfcc,40s_80i,40,80,0.4406147587450245
high,40s_80i,40,80,0.24359459466572048
low,40s_80i,40,80,0.4925126724001728
mid,40s_80i,40,80,0.43829712686659417
mfcc,10s_5i,10,5,0.38339115142822267
high,10s_5i,10,5,0.2417143315076828
low,10s_5i,10,5,0.5262224709987641
mid,10s_5i,10,5,0.4375686144828796
mfcc,80s_80i,80,80,0.43316359266450133
high,80s_80i,80,80,0.26064093653159803
low,80s_80i,80,80,0.48086164709887924
mid,80s_80i,80,80,0.4342761573308631
mfcc,80s_20i,80,20,0.42490553102995215
high,80s_20i,80,20,0.24034865006020195
low,80s_20i,80,20,0.4635429453849792
mid,80s_20i,80,20,0.4254480412131862
mfcc,10s_40i,10,40,0.42801514063126006
high,10s_40i,10,40,0.2369745748470991
low,10s_40i,10,40,0.5194803565587753
mid,10s_40i,10,40,0.42340233044746595
mfcc,80s_60i,80,60,0.43263498791193555
high,80s_60i,80,60,0.25501801415351827
low,80s_60i,80,60,0.477034398364482
mid,80s_60i,80,60,0.4316680804753708
mfcc,2s_10i,2,10,0.5038728925916883
high,2s_10i,2,10,0.21367442342970105
low,2s_10i,2,10,0.5163541581895617
mid,2s_10i,2,10,0.4315602196587457
mfcc,60s_1i,60,1,
high,60s_1i,60,1,
low,60s_1i,60,1,
mid,60s_1i,60,1,
mfcc,5s_60i,5,60,0.4289988992981991
high,5s_60i,5,60,0.331844837598208
low,5s_60i,5,60,0.4580286515230513
mid,5s_60i,5,60,0.4251667466675494
mfcc,5s_20i,5,20,0.3848378030877364
high,5s_20i,5,20,0.2948630332946777
low,5s_20i,5,20,0.42679086584793896
mid,5s_20i,5,20,0.3973946179841695
mfcc,5s_80i,5,80,0.44285497351537784
high,5s_80i,5,80,0.36176374701005
low,5s_80i,5,80,0.45761997464336923
mid,5s_80i,5,80,0.44227593916880936
mfcc,2s_60i,2,60,0.47198465638241527
high,2s_60i,2,60,0.25229312013098076
low,2s_60i,2,60,0.4916858737751589
mid,2s_60i,2,60,0.45057493737861937
mfcc,20s_40i,20,40,0.454692016014686
high,20s_40i,20,40,0.2159705294095553
low,20s_40i,20,40,0.5145344281807924
mid,20s_40i,20,40,0.43397736965081635
mfcc,80s_10i,80,10,0.4055331224865384
high,80s_10i,80,10,0.24329283028841017
low,80s_10i,80,10,0.44916589485274416
mid,80s_10i,80,10,0.4282252838876513
mfcc,2s_80i,2,80,0.46130772844145573
high,2s_80i,2,80,0.28528633841985385
low,2s_80i,2,80,0.4906582602971717
mid,2s_80i,2,80,0.4548473889314676
mfcc,2s_20i,2,20,0.46571190482691716
high,2s_20i,2,20,0.17367033958435057
low,2s_20i,2,20,0.5027089972245066
mid,2s_20i,2,20,0.4561237937525699
mfcc,40s_40i,40,40,0.44514249214759244
high,40s_40i,40,40,0.23706517494641818
low,40s_40i,40,40,0.48792061720138935
mid,40s_40i,40,40,0.4342801817869528
mfcc,60s_5i,60,5,0.3949642336368561
high,60s_5i,60,5,0.252934571976463
low,60s_5i,60,5,0.4635190432270368
mid,60s_5i,60,5,0.4442689913511277
mfcc,10s_1i,10,1,
high,10s_1i,10,1,
low,10s_1i,10,1,
mid,10s_1i,10,1,
mfcc,5s_10i,5,10,0.3490659417046441
high,5s_10i,5,10,0.27784009085761174
low,5s_10i,5,10,0.4346598349677192
mid,5s_10i,5,10,0.37307187398274744
mfcc,60s_40i,60,40,0.4343863063388401
high,60s_40i,60,40,0.2606498540976109
low,60s_40i,60,40,0.4871483746553079
mid,60s_40i,60,40,0.42962474007891793
